name,handedness,height,weight,avg,HR,,Handedness Abbreviation
Ron Hunt,Right,72,186,0.273,39,,R
Joe Keough,Left,72,185,0.246,9,,L
Butch Edge,Right,75,203,0,0,,R
Vic Correll,Right,70,185,0.229,29,,R
Jackie Hernandez,Right,71,165,0.208,12,,R
Tony Solaita,Left,72,210,0.255,50,,L
U L Washington,Both,71,175,0.251,27,,B
Gary Mielke,Right,75,185,0,0,,R
Rick Henninger,Right,78,225,0,0,,R
Joe Foy,Right,72,215,0.248,58,,R
Ed Goodson,Left,75,180,0.26,30,,L
Mark Brown,Both,74,190,0,0,,B
Mickey Klutts,Right,71,170,0.241,14,,R
Leroy Stanton,Right,73,195,0.244,77,,R
Rafael Vasquez,Right,72,160,0,0,,R
Len Whitehouse,Left,71,175,0,0,,L
Danny Ainge,Right,76,175,0.22,2,,R
Adolfo Phillips,Right,73,175,0.247,59,,R
Marv Breeding,Right,72,175,0.25,7,,R
Steve Adkins,Right,78,210,0,0,,R
Dick McAuliffe,Left,71,176,0.247,197,,L
